sensorname;quartier
107055 | 2C76;Notkersegg
107043 | 8300;Notkersegg
107058 | 282C;Notkersegg
107048 | 671B;St.Georgen-Bach
107104 | 66E0;St.Georgen-Bach
104244;St.Jakob
107044 | 63DB;St.Fiden-Krontal
107128 | 0BCE;Linsebühl-Dreilinden
107112 | 2B88;Langgass-Heiligkreuz
107040 | 8572;St.Georgen-Bach
107047 | 0D1A;St.Fiden-Krontal
107053 | 667E;Bruggen-Zürcherstrasse
107034 | 8104;St.Fiden-Krontal
107049 | 4B00;St.Fiden-Krontal
107095 | 64BC;Langgass-Heiligkreuz
107109 | 67EF;Vonwil-Lachen-Schoren
107077 | 2CC4;Bruggen-Zürcherstrasse
107123 | 980F;Vonwil-Lachen-Schoren
104243;St.Jakob
107072 | F389;Moos-Waldacker-Lerchenfeld
107065 | 4A3D;Bruggen-Zürcherstrasse
107108 | 0AEA;Linsebühl-Dreilinden
107026 | 67BE;Moos-Waldacker-Lerchenfeld
107130 | 4818;Linsebühl-Dreilinden
107121 | 679F;Vonwil-Lachen-Schoren
107068 | 4455;Moos-Waldacker-Lerchenfeld
107038 | 2B8D;Riethüsli
107097 | 0C5C;Langgass-Heiligkreuz
107114 | 654B;Langgass-Heiligkreuz
107115 | 7F12;Linsebühl-Dreilinden
107031 | 6348;Winkeln Süd
107132 | 255E;Langgass-Heiligkreuz
107067 | 84A1;Vonwil-Lachen-Schoren
107062 | 49A3;Vonwil-Lachen-Schoren
107054 | 2AE2;Vonwil-Lachen-Schoren
107041 | 470A;Vonwil-Lachen-Schoren
107064 | 4B16;Haggen-Oberstrasse-Langweid
107127 | 817E;Rotmonten
107075 | 2B2A;Winkeln Süd
107096 | 4814;Langgass-Heiligkreuz
107122 | 6370;Langgass-Heiligkreuz
107057 | 69C8;Haggen-Oberstrasse-Langweid
